,Category,Correct,OptionA,OptionB,OptionC,OptionD,Questions
0,2.1,b, Smile, Acknowledge, Success, Manners," Direction: In each of the following questions, select the related word from the given alternatives. Touch : Feel : : Greet : ? "
1,2.1,d, Land, Sun, Air,Nation," Direction: In each of the following questions, select the related word from the given alternatives. House : Room : : World : ? "
2,2.1,b, Garnet, Ruby, Pukhraj, Pearl," Direction: In each of the following questions, select the related word from the given alternatives. Carbon : Diamond : : Corundum : ? "
3,2.1,d, Victory, Peace, Treaty, Destruction," Direction: In each of the following questions, select the related word from the given alternatives. Smoke : Pollution : : War : ? "
4,2.1,c, Accident, Doctor, Vein,Donation," Direction: In each of the following questions, select the related word from the given alternatives. Ink : Pen : : Blood : ? "
5,2.1,c, Walls, Pillars, Floor, Window," Direction: In each of the following questions, select the related word from the given alternatives. Good : Bad : : Roof : ? "
6,2.1,c, Hole, Pit, Burrow, Trench," Direction: In each of the following questions, select the related word from the given alternatives. Lion : Den : : Rabbit : ? "
7,2.1,b, Model, Antiquity, Discovery, Culture," Direction: In each of the following questions, select the related word from the given alternatives. Novelty : Oldness : : Newness : ? "
8,2.1,a,Source,Editorial, News,Essay," Direction: In each of the following questions, select the related word from the given alternatives. Detective : Informer : : Reporter : ? "
9,2.1,a,Illusion,Image, Hideout,Reflection," Direction: In each of the following questions, select the related word from the given alternatives. Genuine : Authentic : : Mirage : ? "
10,2.1,b,Day,Dusk, Dark,Evening," Direction: In each of the following questions, select the related word from the given alternatives. Thunder : Rain : : ? : Night "
11,2.1,c,Birds, Plants, Insects, Snakes," Direction: In each of the following questions, select the related word from the given alternatives. Botany : Plants : : Entomology : ? "
12,2.1,c,Japan, India, USA, Netherlands," Direction: In each of the following questions, select the related word from the given alternatives. Parliament : Great Britain : : Congress : ? "
13,2.1,a,Pool, Rain, Stream, Canal,"Direction: In each of the following questions, select the related word from the given alternatives. Flow : River : : Stagnant : ? "
14,2.1,d,Sanskrit, Coin, Mammal, Bird," Direction: In each of the following questions, select the related word from the given alternatives. Psychology : Mind : : Ornithology : ? "
15,2.1,b,Give, Snatch, Gain, Gift," Direction: In each of the following questions, select the related word from the given alternatives. Suggestion : Demand : : Take : ? "
16,2.1,b,Pleasant,Conservative,Haphazard,Permanent," Direction: In each of the following questions, select the related word from the given alternatives. Maximum : Excess : : Sly : ? "
17,2.1,c,Shine,Water,Rain,Weather," Direction: In each of the following questions, select the related word from the given alternatives. Mother : Child : : Cloud : ? "
18,2.1,b,Forest,Shrub,Leaf,Ground," Direction: In each of the following questions, select the related word from the given alternatives. Mountain : Hill : : Tree : ? "
