sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://images2.imgbox.com/5f/93/6NwnYgOH_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,d,https://images2.imgbox.com/c8/e9/U3bHYEGh_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://images2.imgbox.com/d5/31/czLhFei9_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,c,https://images2.imgbox.com/29/2c/00YtAx7E_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://images2.imgbox.com/2d/97/KnXkmHtK_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,a,https://images2.imgbox.com/5d/ff/bpGNuSk2_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,d,https://images2.imgbox.com/20/d2/bcEgJzsV_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,c,https://images2.imgbox.com/56/4a/JTxqdRr0_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,d,https://images2.imgbox.com/56/ea/6i6wyiSy_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://images2.imgbox.com/bd/6f/d775UjaV_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,d,https://images2.imgbox.com/af/06/cBHAX3jm_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://images2.imgbox.com/d6/e6/N8TgVu1s_o.png,locopilot_electrical,A,B,C,D,17.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
