,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/nucV70p.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,a,https://i.imgur.com/1IzxHdR.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,b,https://i.imgur.com/FCoGtyt.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,b,https://i.imgur.com/RrIfkZw.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,d,https://i.imgur.com/CZclZWW.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,d,https://i.imgur.com/0ibnvKK.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,b,https://i.imgur.com/rKWe9rg.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,a,https://i.imgur.com/NMunL1y.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,a,https://i.imgur.com/Tc9IUwq.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,b,https://i.imgur.com/6NIIDjD.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,a,https://i.imgur.com/Pg7JitS.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,a,https://i.imgur.com/jcWDXHu.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,a,https://i.imgur.com/U2f6dV3.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,a,https://i.imgur.com/i1SmFzv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
16,b,https://i.imgur.com/P6TWUGa.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,a,https://i.imgur.com/jOACt34.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,a,https://i.imgur.com/OoBrBUV.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,d,https://i.imgur.com/lCcicM7.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,a,https://i.imgur.com/Gg9yBbn.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,a,https://i.imgur.com/kWib6lz.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/OEXJqGF.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/s3n1sc2.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,c,https://i.imgur.com/jTBwfQc.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/RweJHC3.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,d,https://i.imgur.com/jjc2pZX.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/fpL10HD.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,b,https://i.imgur.com/vToSDzB.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,b,https://i.imgur.com/b9emhv4.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/IqbviPZ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,a,https://i.imgur.com/7j8OxAe.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/RWSey8I.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/hxLTDGo.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/OgFb0em.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,b,https://i.imgur.com/r4i474o.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,c,https://i.imgur.com/eVRZc0w.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/0dogAxv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
