SL.NO.,correct,QuestionLink,section Type,optA,optB,optC,optD,category,usedFor,lang,source
1,A,https://i.imgur.com/5IVLgbm.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,A,https://i.imgur.com/Rs0qSZs.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,D,https://i.imgur.com/eBuoy0p.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,D,https://i.imgur.com/aWik4yA.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,C,https://i.imgur.com/EYahexO.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
6,D,https://i.imgur.com/QJOvjvI.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,B,https://i.imgur.com/y2AiWGD.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,A,https://i.imgur.com/Wy00BJY.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,A,https://i.imgur.com/lvBnc4m.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,A,https://i.imgur.com/8UncnVT.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,D,https://i.imgur.com/dvgo4SD.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,C,https://i.imgur.com/ICD43t2.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/aEy10Ok.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,C,https://i.imgur.com/0rQhKSK.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,B,https://i.imgur.com/NyL68GD.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,B,https://i.imgur.com/Vjl0BHU.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,D,https://i.imgur.com/wrov8l0.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,B,https://i.imgur.com/LaJVB8r.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/Ws1tEvQ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,A,https://i.imgur.com/Z723wlm.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/eNgwMSa.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,D,https://i.imgur.com/MszQvaS.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/1BEtF76.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,A,https://i.imgur.com/KBU1lb3.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/j3tF1uL.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,C,https://i.imgur.com/A2rdHDg.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,A,https://i.imgur.com/IpWvUsJ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,B,https://i.imgur.com/2Y6mnva.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/D9NstMP.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,C,https://i.imgur.com/GWviGzt.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,C,https://i.imgur.com/SgCP6zs.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,A,https://i.imgur.com/jVgquj6.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,A,https://i.imgur.com/0Sr4XjD.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/i9f4IcH.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,B,https://i.imgur.com/IY65TuO.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/4OqsNKy.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,C,https://i.imgur.com/3XwCav5.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/qRS1rcU.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,B,https://i.imgur.com/fCqOOFw.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,C,https://i.imgur.com/sGEoivm.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,C,https://i.imgur.com/yInHDEN.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,D,https://i.imgur.com/o9Swysl.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,D,https://i.imgur.com/WssSv2E.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,A,https://i.imgur.com/2XKsSXh.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,A,https://i.imgur.com/7CNdH2B.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,B,https://i.imgur.com/drIMfCQ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,C,https://i.imgur.com/2xHAaHd.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,A,https://i.imgur.com/c5VLT1E.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,C,https://i.imgur.com/2f7SmHc.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,C,https://i.imgur.com/8f1H3NF.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/Sh74GwB.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,C,https://i.imgur.com/k5iYuKa.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,A,https://i.imgur.com/nruvB8a.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,D,https://i.imgur.com/qYXQGLQ.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,C,https://i.imgur.com/4tqiItO.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,D,https://i.imgur.com/yZbseX9.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,A,https://i.imgur.com/OFFNAhd.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,D,https://i.imgur.com/5rmtSRb.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,A,https://i.imgur.com/ZXZkJg0.png,locopilot_electrical,A,B,C,D,4.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
