SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
1,D,https://i.imgur.com/PdLGH9A.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
2,A,https://i.imgur.com/I5iKeXJ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
3,C,https://i.imgur.com/KUyeH5c.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
4,B,https://i.imgur.com/ablNlax.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
5,D,https://i.imgur.com/oPy5oEm.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
7,C,https://i.imgur.com/6FuJNnY.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
8,B,https://i.imgur.com/towHThq.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
9,D,https://i.imgur.com/FJLcJrN.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
10,B,https://i.imgur.com/s78a5E4.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
11,C,https://i.imgur.com/dS3pitf.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
12,B,https://i.imgur.com/ohCmFsf.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
13,B,https://i.imgur.com/JHP35V9.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
14,C,https://i.imgur.com/e39sXNr.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
15,D,https://i.imgur.com/kQpl1PZ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
