sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/5oeXN9c.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
2,d,https://i.imgur.com/I9j8lfk.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
4,b,https://i.imgur.com/YqXR5y8.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
5,a,https://i.imgur.com/ouJU5Jy.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
6,a,https://i.imgur.com/rx0XQqu.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
7,b,https://i.imgur.com/KZA1ppY.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
8,c,https://i.imgur.com/6xN71vg.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
9,a,https://i.imgur.com/v4khzHU.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
10,a,https://i.imgur.com/HFoqhlI.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
11,c,https://i.imgur.com/b5BiBuJ.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
12,c,https://i.imgur.com/oecp743.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
13,d,https://i.imgur.com/0nL8zMW.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
14,a,https://i.imgur.com/60cb2PI.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
15,c,https://i.imgur.com/RVvLAVc.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
16,a,https://i.imgur.com/M8DvcYf.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
17,b,https://i.imgur.com/7z6jL9I.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
18,c,https://i.imgur.com/8qquUbl.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
19,b,https://i.imgur.com/hkxtt4B.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
21,d,https://i.imgur.com/ssnIQJQ.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
22,b,https://i.imgur.com/DV5gNPx.png,loco_civil,A,B,C,D,12.3,loco_civil,bi,JEN
