sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,sources
1,c,https://i.imgur.com/OrzUxsj.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
2,d,https://i.imgur.com/dBUwpCB.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
3,b,https://i.imgur.com/crGB1g2.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
4,b,https://i.imgur.com/ccTjyLQ.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
6,b,https://i.imgur.com/f5cIk41.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
7,c,https://i.imgur.com/y8P6BfJ.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
8,d,https://i.imgur.com/VLNmpvI.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
11,c,https://i.imgur.com/k0YIgAK.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
12,d,https://i.imgur.com/8k7SOUS.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
14,c,https://i.imgur.com/Xj5YQRG.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
15,a,https://i.imgur.com/hmIeCqw.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
17,d,https://i.imgur.com/iMXJJzj.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
18,b,https://i.imgur.com/iuqYkS8.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
19,a,https://i.imgur.com/uNFAg2K.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
20,d,https://i.imgur.com/0pGi399.png,loco_civil,A,B,C,D,13.2,loco_civil,bi,JEN
