sl.no.,correct,Question_link,section_type,optA,optB,optC,optD,category,usedFor,lang,sources
1,c,https://i.imgur.com/Qvfgqsa.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
2,c,https://i.imgur.com/pR9qkg6.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
3,b,https://i.imgur.com/lJ3tu5g.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
5,c,https://i.imgur.com/Nf7rvWU.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
6,d,https://i.imgur.com/LUGP3MX.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
8,c,https://i.imgur.com/VDlkUtn.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
11,d,https://i.imgur.com/LFqdUep.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
12,a,https://i.imgur.com/Xgjr0rP.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
13,d,https://i.imgur.com/tZ82KC6.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
15,b,https://i.imgur.com/AYAv0C8.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
16,b,https://i.imgur.com/9WXJW1h.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
17,d,https://i.imgur.com/c8K44li.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
19,b,https://i.imgur.com/lqhzBQw.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
20,a,https://i.imgur.com/7Ko35dP.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
22,b,https://i.imgur.com/9Ox0Rkl.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
24,c,https://i.imgur.com/Td2zE1N.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
25,b,https://i.imgur.com/aVYcjVH.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
27,d,https://i.imgur.com/jEpmdJG.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
29,c,https://i.imgur.com/7T3uzBp.png,loco_civil,A,B,C,D,13.4,loco_civil,bi,JEN
