num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,2,https://i.imgur.com/Ut770wW.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
2,4,https://i.imgur.com/SjEJUtk.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
3,1,https://i.imgur.com/Wd6399N.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
4,1,https://i.imgur.com/Pq7cHvn.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
5,2,https://i.imgur.com/TunhBWD.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
6,3,https://i.imgur.com/AJDu0Df.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
7,1,https://i.imgur.com/Q6KRBSY.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
8,2,https://i.imgur.com/TDykvht.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
9,4,https://i.imgur.com/prNCqGR.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
10,1,https://i.imgur.com/Mru0Ycr.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
11,3,https://i.imgur.com/iEGIYo8.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
12,3,https://i.imgur.com/mhlPFzH.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
13,4,https://i.imgur.com/uU6IlZ7.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
14,1,https://i.imgur.com/otnmApg.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
15,1,https://i.imgur.com/WHkpxaj.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
16,3,https://i.imgur.com/WR4kdgb.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
17,1,https://i.imgur.com/V6b3OhJ.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
18,3,https://i.imgur.com/uq0NNAp.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
19,3,https://i.imgur.com/jlyZH8R.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
20,3,https://i.imgur.com/T8K7M37.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
21,3,https://i.imgur.com/kI4ZLyt.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
22,4,https://i.imgur.com/L9ahaeF.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
23,1,https://i.imgur.com/xhFQT3R.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
24,3,https://i.imgur.com/WIKTLqX.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
25,3,https://i.imgur.com/TyDCh78.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
26,4,https://i.imgur.com/OvIyFPT.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
27,4,https://i.imgur.com/idSbReu.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
28,2,https://i.imgur.com/1RiZvmJ.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
29,1,https://i.imgur.com/yKqad39.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
30,4,https://i.imgur.com/8JITWr2.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
31,2,https://i.imgur.com/H2S1SZI.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
32,1,https://i.imgur.com/bLUrzH5.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
