num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,2,https://i.imgur.com/QpSwjGY.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
2,4,https://i.imgur.com/nqV2Ifn.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
3,1,https://i.imgur.com/Z72vA1U.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
4,1,https://i.imgur.com/xSMW2T7.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
5,2,https://i.imgur.com/uo0V65K.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
6,3,https://i.imgur.com/nr1ZhZZ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
7,1,https://i.imgur.com/qsrtDv9.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
8,2,https://i.imgur.com/cWuJM34.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
9,4,https://i.imgur.com/t8feBas.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
10,1,https://i.imgur.com/S0svQTk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
11,3,https://i.imgur.com/wrQYpz0.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
12,3,https://i.imgur.com/Y7bwsFO.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
13,4,https://i.imgur.com/dSJyHvM.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
14,1,https://i.imgur.com/crZ5gkr.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
15,1,https://i.imgur.com/TRQzpZf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
16,3,https://i.imgur.com/1e5k26Y.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
17,1,https://i.imgur.com/4Y57NEL.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
18,3,https://i.imgur.com/Y3Vkok6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
19,3,https://i.imgur.com/H5EW1A2.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
20,3,https://i.imgur.com/Hnu841X.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
21,3,https://i.imgur.com/rpR722f.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
