num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,3,https://i.imgur.com/yZ4wo7H.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
2,2,https://i.imgur.com/hMWHLPK.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
3,3,https://i.imgur.com/ueoQjLr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
4,4,https://i.imgur.com/FfasM3v.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
5,1,https://i.imgur.com/C3BwWd9.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
6,3,https://i.imgur.com/7AEk7uT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
7,2,https://i.imgur.com/4Sr4nEA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
8,4,https://i.imgur.com/JV9z32o.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
9,3,https://i.imgur.com/63FVm5W.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
10,3,https://i.imgur.com/GhoPu3t.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
11,2,https://i.imgur.com/2yfxjS8.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
12,2,https://i.imgur.com/Cncppor.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
13,4,https://i.imgur.com/zydjSOb.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
14,2,https://i.imgur.com/zQMEOz9.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
15,4,https://i.imgur.com/IP7zuAf.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
16,4,https://i.imgur.com/yrx3DUZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
17,3,https://i.imgur.com/zCRRZe3.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
18,2,https://i.imgur.com/CnHWuF7.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
19,2,https://i.imgur.com/d7AqK8c.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
20,3,https://i.imgur.com/EOOWM1p.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
21,3,https://i.imgur.com/f0fxPYS.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
22,4,https://i.imgur.com/vhNSbt2.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
23,4,https://i.imgur.com/7rRBBu4.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
24,4,https://i.imgur.com/5Fcv05x.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
25,3,https://i.imgur.com/Pi9OpEr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
26,4,https://i.imgur.com/WtDh3xq.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
27,2,https://i.imgur.com/84gWBZo.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
28,1,https://i.imgur.com/Xfst2R2.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
29,3,https://i.imgur.com/uhK5Gvm.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
30,3,https://i.imgur.com/32Vaeb5.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
31,2,https://i.imgur.com/QhJ9x1s.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
32,2,https://i.imgur.com/uZk22ZT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
33,1,https://i.imgur.com/ZfjeoVe.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
34,3,https://i.imgur.com/ROGLncg.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
35,2,https://i.imgur.com/o3fDgnp.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
36,1,https://i.imgur.com/ORhm6pQ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
37,2,https://i.imgur.com/4B2mRYU.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
38,1,https://i.imgur.com/Qg7R9QG.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
39,1,https://i.imgur.com/vpSW6HT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
40,1,https://i.imgur.com/DDu8492.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
41,2,https://i.imgur.com/TimG0jX.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
42,2,https://i.imgur.com/WfJDN3O.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
43,3,https://i.imgur.com/7EvslVZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
44,2,https://i.imgur.com/tyoAmz5.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
45,1,https://i.imgur.com/9Hda9UK.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
46,2,https://i.imgur.com/PFUvWWr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
47,4,https://i.imgur.com/uM3ROXt.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
48,1,https://i.imgur.com/3nUBAUZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
49,4,https://i.imgur.com/KPBzCUx.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
50,4,https://i.imgur.com/1i6udbv.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
51,1,https://i.imgur.com/Sa3gDIr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
52,4,https://i.imgur.com/ZlrLLF0.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
53,4,https://i.imgur.com/Kkv6XuV.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
54,1,https://i.imgur.com/C21P29g.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
55,2,https://i.imgur.com/wZUjNyA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
56,4,https://i.imgur.com/ECZyIzd.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
57,2,https://i.imgur.com/Nignqym.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
58,1,https://i.imgur.com/UQcrDL6.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
59,1,https://i.imgur.com/EgTi1rQ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
60,3,https://i.imgur.com/qMgbt7w.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
61,2,https://i.imgur.com/dUBHeQr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
62,3,https://i.imgur.com/TFqL8oA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
63,3,https://i.imgur.com/r00FH5m.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
64,4,https://i.imgur.com/mAxHXWj.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
65,4,https://i.imgur.com/G3BR78b.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
66,1,https://i.imgur.com/jLjjDeU.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
67,2,https://i.imgur.com/Zjz0Bky.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
68,3,https://i.imgur.com/m6bKArR.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
69,3,https://i.imgur.com/FGQfV5c.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
70,3,https://i.imgur.com/DgAmwSN.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
71,1,https://i.imgur.com/FUC7s2Q.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
72,4,https://i.imgur.com/d3Hp98j.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
73,2,https://i.imgur.com/j8lTRfl.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
74,3,https://i.imgur.com/YpBbc8k.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
75,3,https://i.imgur.com/PzGDi6e.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
76,1,https://i.imgur.com/btetE45.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
77,4,https://i.imgur.com/COyCrrO.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
78,3,https://i.imgur.com/TKRm8qu.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
79,3,https://i.imgur.com/CmuVlls.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
80,3,https://i.imgur.com/QItSLLc.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
81,4,https://i.imgur.com/7DQhEeV.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
82,2,https://i.imgur.com/mGy5ffs.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
83,2,https://i.imgur.com/LHR4nXv.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
84,4,https://i.imgur.com/uqlfqn7.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
85,1,https://i.imgur.com/rmbSEOH.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
86,3,https://i.imgur.com/u7aGMLi.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
87,4,https://i.imgur.com/UBXDxqX.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
88,2,https://i.imgur.com/XxWTKtn.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
89,2,https://i.imgur.com/WKmIh7a.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
90,4,https://i.imgur.com/DNCiek1.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
91,4,https://i.imgur.com/8BqialZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
92,4,https://i.imgur.com/J74chYI.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
93,2,https://i.imgur.com/bMHLj2T.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
94,4,https://i.imgur.com/b9b8jOi.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
95,1,https://i.imgur.com/6kFi4ZM.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
96,3,https://i.imgur.com/kgMU4TR.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
97,4,https://i.imgur.com/cKVMxEq.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
98,1,https://i.imgur.com/s0CPVti.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
99,4,https://i.imgur.com/5R7K411.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
100,1,https://i.imgur.com/NaXwoWS.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10
