,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,2.8,Voice,The old system will be result,into heavy losses and,hence we strongly advocate,replacement with the new system.,No error,A,Find error.
1,2.8,Voice,His dealing with other traders,had always suspected,though he was,spotlessly clean.,No error,B,Find error.
2,2.8,Voice,We demonstrated,to them how,we were prepared,the artistic pattern.,No error,C,Find error.
3,2.8,Voice,Tickets were,started to sold,for the morning show.,No error,Noopt,B,Find error.
4,2.8,Voice,All the members,contributed generously,but the targeted amount,could not collect.,No error,D,Find error.
5,2.8,Voice,Being a very fast worker,he is always liking,by all this colleagues,and superior too.,No error,B,Find error.
6,2.8,Voice,If you do not,submit the report,in the next two days,all of us will be delay.,No error,D,Find error.
7,2.8,Voice,The new system will be result,into heavy losses and,hence we strongly advocate,its replacement with old system.,No error,A,Find error.
8,2.8,Voice,His dealing with other traders,had always been suspected,through he was,spotlessly clean.,No error,E,Find error.
9,2.8,Voice,Though ban on liquor and drugs,will be led to a loss of revenue,the gain through the ban,will out weight the loss.,No error,B,Find error.
10,2.8,Voice,The captain frightened,that his army would,be surrounded,by the enemy forces.,No error,A,Find error.
11,2.8,Voice,You may rest assured,that Anwar knows,more than me,in this matter.,No error,A,Find error.
12,2.8,Voice,It has been better,to keep money in a bank,than to keep it under,your bed in a suitcase.,No error,E,Find error.
13,2.8,Voice,River water pollution,is often indicate,by,algae distribution.,No error,B,Find error.
14,2.8,Voice,The first year of the child’s life is,characterised,in,rapid physical growth.,No error,C,Find error.
15,2.8,Voice,Jamshedji knew that,an industrial revolution can,only brought in the country,by setting up iron and steel industry.,No error,C,Find error.
16,2.8,Voice,Your desire to,meet the president,without prior appointment,can not be fulfil.,No error,D,Find error.
17,2.8,Voice,"Rivers, mountains and deep forests",are the places,mostly like by,people living in urban areas.,No error,C,Find error.
18,2.8,Voice,For giving up,"the bad habit of smoking,",use of chewing gum or,similar other method can be helped.,No error,D,Find error.
19,2.8,Voice,According to him,"two factors which are,",needy for success,are discipline and diligence.,No error,C,Find error.
20,2.8,Voice,The amount of foreign,direct investment in,the country in 2008 is,doubled that received in 1997.,No error,D,Find error.
21,2.8,Voice,The Government officials will be met,heads of Commercial Banks later this week,to get their views on liquidity,and growth in deposits.,No error,A,Find error.
22,2.8,Voice,Though he has promoted to,the bank’s board as a director,he continues to carry out,all his current responsibilities.,No error,A,Find error.
23,2.8,Voice,Whether or not to confront,them about their role,in the matter is a decision,which is yet to take.,No error,D,Find error.
24,2.8,Voice,As the first President,"of India, Dr. Rajendra Prasad",was known by all types,of people in the world.,No error,C,Find error.
25,2.8,Voice,Sediment deposit along the coast,may be the primary reason for,"the change in conditions,",but a lot more remains to be understand.,No error,D,Find error.
26,2.8,Voice,If you have made a mistake,while filling up the form,you should be informed,the income tax department immediately.,No error,C,Find error.
27,2.8,Voice,The court has asked the authorities,to take appropriate steps to restore natural water resources,so that the water shortage problem,in the state can solve. ,No error,D,Find error.
28,2.8,Voice,Looking into the situation,that prevailed a few years,"ago, he was taken",that decision.,No error,C,Find error.
29,2.8,Voice,"The website, which does not",accept advertisements and is fund,"entirely by donations, describes itself ",as the fifth most popular website on the planet.,No error,B,Find error.
30,2.8,Voice,They could have,helped him,had they approached by him,for help well in advance.,No error,C,Find error.
31,2.8,Voice,Everyone is,impress by,his zeal,and enthusiasm.,No error,B,Find error.
32,2.8,Voice,The chairman welcomed,all the guests and,gave an outline of the,activities performing by the company.,No error,D,Find error.
33,2.8,Voice,You are supposed to,have been completed,this important assignment,long back.,No error,B,Find error.
34,2.8,Voice,Systematic training is,specifically designs to,meet defined needs to develop,skills required to perform well.,No error,B,Find error.
35,2.8,Voice,As I was to reach early,I left in train,instead of,going by bus.,No error,B,Find error.
36,2.8,Voice,None of the players was,eager to participate,in the competition as their,demands were not meet.,No error,D,Find error.
37,2.8,Voice,Several recommendations,have accepted and,are being implemented,in arphased manner.,No error,B,Find error.
38,2.8,Voice,They could have,been helped him,had they been approached by him,for help well in advance.,No error,C,Find error.
39,2.8,Voice,Everyone is,impress by,Pintoo’s zeal,and enthusiasm.,No error,B,Find error.
40,2.8,Voice,We could not succeed,in our efforts to find out,how some people can,be made accurate prediction.,No error,D,Find error.
41,2.8,Voice,Even at the planning stage,Mohan was quite sure,that the scheme was,binding to fall.,No error,D,Find error.
42,2.8,Voice,The health workers are,being tried their best,to popularise,preventive measures.,No error,B,Find error.
43,2.8,Voice,She had offered,a temporary assignment but,she turned it down saying that,she would accept only a permanent one.,No error,A,Find error.
44,2.8,Voice,One of the men,gave first aid to,Alok who was,injured in a road accident.,No error,E,Find error.
45,2.8,Voice,To gild,China pottery,a paint is made with gold powder and applying,with a brush.,No error,C,Find error.
46,2.8,Voice,You will be persecuted,for bringing seeds,into Australia.,No error,Noopt,D,Find error.
47,2.8,Voice,"Based on the newspaper reports,",we can conclude that,many accidents caused by reckless driving.,No error,Noopt,D,Find error.
48,2.8,Voice,I have been trying,to get in touch with,Rashmi but I feel,she is gone out. ,No error,D,Find error.
49,2.8,Voice,He demonstrated,to them how,he was prepared,the miraculous.,No error,C,Find error.
50,2.8,Voice,The complainants in their complaint,have been alleged that,they were forced to leave,their belongings unattended.,No error,B,Find error.
51,2.8,Voice,If they are found,"guilty during investigation,",complaint will be,lodged against them. ,No error,E,Find error.
52,2.8,Voice,They had been hired a taxi,to roam around the city,but their plan failed,as the taxi met with an accident.,No error,A,Find error.
53,2.8,Voice,These goods have been,damaged and as such,should be declared,unsuitable for sale.,No error,E,Find error.
54,2.8,Voice,The list of candidates admitted,to the test should be remain,with the invigilator,during the test.,No error,B,Find error.
55,2.8,Voice,An investor must,be taken into account,many factors before,making any financial decision. ,No error,B,Find error.
56,2.8,Voice,The next meeting can be,hold next week as,we had the first meeting,over a month ago.,No error,B,Find error.
57,2.8,Voice,Paper should be,recycle,is possible.,No error,Noopt,B,Find error.
58,2.8,Voice,The reports were prompted the chairman of,the organising committee to address a hurried press conference,where he reprimanded the media,for conducting a ‘prejudiced campaign’.,No error,A,Find error.
59,2.8,Voice,A day after he was diagnosed with,"swine flu, preventive measures were put in place",to ensure that others were not,affected by the dreaded virus. ,No error,E,Find error.
60,2.8,Voice,Two students were badly injured ,and a dog killed in the bus car accident,that took place yesterday.,No error,Noopt,B,Find error.
61,2.8,Voice,It was advised by our family doctor,that the patient,must be taken care of.,No error,Noopt,D,Find error.
62,2.8,Voice,A new TV serial is soon to be,telecasted by,the Star Channel. ,No error,Noopt,B,Find error.
63,2.8,Voice,I wish,the children had,not made to crawl in the hot sun.,No error,Noopt,C,Find error.
64,2.8,Voice,Be careful,lest your pocket,should pick.,No error,Noopt,C,Find error.
65,2.8,Voice,If you don’t apologize for having,committed the mistake you,won’t be forgave.,No error,Noopt,C,Find error.
66,2.8,Voice,The children should not,have made to suffer,at the hands of untrained teacher.,No error,Noopt,B,Find error.
67,2.8,Voice,When he seriously wounded,by a lorry he was immediately,helped by an unknown person.,No error,Noopt,A,Find error.
68,2.8,Voice,It is high time,the perpetrators brought,to book.,No error,Noopt,B,Find error.
69,2.8,Voice,I asked,to repeat the performance,by the spectators.,No error,Noopt,A,Find error.
70,2.8,Voice,On 26th January all,the streets were,thronged with spectators.,No error,Noopt,C,Find error.
71,2.8,Voice,Grammar is taught us,by a lady teacher,named Mrs. Maria.,No error,Noopt,A,Find error.
72,2.8,Voice,By whom,were you,taught to grammar?,No error,Noopt,C,Find error.
73,2.8,Voice,Do not float the rumours,lest the curfew,is imposed in the city.,No error,Noopt,C,Find error.
74,2.8,Voice,"In those days,",the cultivation in India used to do,with obsolete implements.,No error,Noopt,B,Find error.
75,2.8,Voice,We celebrate festivals,lest,our heritage should forget.,No error,Noopt,C,Find error.
76,2.8,Voice,I wish,Indian sub-continent,had not divided.,No error,Noopt,C,Find error.
77,2.8,Voice,The child ran over,by a speeding car,while he was crossing the road.,No error,Noopt,A,Find error.
78,2.8,Voice,He should not have held guilty,if he did not commit,"the offence, as proved by the investigators.",No error,Noopt,A,Find error.
79,2.8,Voice,The wounded man,was being help by,some girls.,No error,Noopt,B,Find error.
80,2.8,Voice,"In spite of all the facilities providing,",the rural folks were not,much interested in the programme.,No error,Noopt,A,Find error.
81,2.8,Voice,You would not have punished,if the children had,not complained of you.,No error,Noopt,A,Find error.
82,2.8,Voice,In those days,the students were not,provided with free books.,No error,Noopt,D,Find error.
83,2.8,Voice,The passengers warned,not to play with the electrical gadgets,before the inspection team arrived.,No error,Noopt,A,Find error.
84,2.8,Voice,The patient died,after he,was transfused with blood.,No error,Noopt,C,Find error.
85,2.8,Voice,The bank robbery case was enquired,two month ago but no,report has published yet.,No error,Noopt,C,Find error.
86,2.8,Voice,"If the room had been cleaned,",the children would,have made to sit in it.,No error,Noopt,C,Find error.
87,2.8,Voice,The lonely lady puzzled,when she found some strange footprints,near the door.,No error,Noopt,A,Find error.
88,2.8,Voice,The principal was angry because the work,on the generator should have completed,before the arrival of chief guest.,No error,Noopt,B,Find error.
89,2.8,Voice,The poor boy was approached,the lady principal and requested her,to forgive him for his mistake.,No error,Noopt,A,Find error.
90,2.8,Voice,How much time,will it take for the,food to cook.,No error,Noopt,A,Find error.
91,2.8,Voice,You will reprimanded,if the children are made,to jump into the river.,No error,Noopt,A,Find error.
