,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
2,a,https://i.imgur.com/uq4zq5h.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/mJm0jtF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/9pzzrek.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/tPffKWS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,d,https://i.imgur.com/TDNWCTt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/n42ySnH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/5Sjcx5P.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/d4w20mJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/IBcwKaS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,c,https://i.imgur.com/ZlbKrEZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/j1PL9e5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/HJ0dFRt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,a,https://i.imgur.com/aQn44c4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/lVfISP5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,a,https://i.imgur.com/jOPP48O.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://i.imgur.com/3H8K4po.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/Ge2n5Ww.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/ursjIk6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/qdmvJpy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/PmtvckY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,d,https://i.imgur.com/5EGFYP9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/NvEhsoC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,c,https://i.imgur.com/qVGnA3A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/d8cg7jF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/9zc8MhH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,c,https://i.imgur.com/14UZmVV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,a,https://i.imgur.com/J3uxkUI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,b,https://i.imgur.com/rvR50Ez.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,d,https://i.imgur.com/6dpHTr3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,b,https://i.imgur.com/MRARPLK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,a,https://i.imgur.com/B4zDE9s.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,d,https://i.imgur.com/W48zHfD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,a,https://i.imgur.com/0Kx2EpG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,b,https://i.imgur.com/BeafZxs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,c,https://i.imgur.com/93y9Z2B.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,a,https://i.imgur.com/iSbIxVy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,b,https://i.imgur.com/j3aAJm8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,d,https://i.imgur.com/oF3ZT20.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,d,https://i.imgur.com/H2gO3Mj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,c,https://i.imgur.com/SsQbJjo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,c,https://i.imgur.com/CnPh4Un.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,a,https://i.imgur.com/WizRozN.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,b,https://i.imgur.com/VEqgDGf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,b,https://i.imgur.com/TlNsDO9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,d,https://i.imgur.com/Lxb0cLl.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,d,https://i.imgur.com/NbI1hp4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,d,https://i.imgur.com/ID9xge3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/jFLEMFr.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/tkpnqV7.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,b,https://i.imgur.com/eZatR6V.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,b,https://i.imgur.com/IeLiOqd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,b,https://i.imgur.com/5LWUnND.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,a,https://i.imgur.com/aQw6nrv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,c,https://i.imgur.com/gCSrkHO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,b,https://i.imgur.com/QrPJ5bc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,d,https://i.imgur.com/8owY9bd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,c,https://i.imgur.com/1rkuWtw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,d,https://i.imgur.com/ZB6XXkU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,c,https://i.imgur.com/90zN9wv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,a,https://i.imgur.com/k7bBMEY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,c,https://i.imgur.com/1IQye3u.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,b,https://i.imgur.com/y7XMZj5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,a,https://i.imgur.com/7HPMtzZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,b,https://i.imgur.com/5Cdbt8J.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,d,https://i.imgur.com/LCzhIk2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,b,https://i.imgur.com/NgNpZ8v.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,a,https://i.imgur.com/3UfbFuM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,a,https://i.imgur.com/k633R4N.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,c,https://i.imgur.com/JUXwmze.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,c,https://i.imgur.com/8hN6xpB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,c,https://i.imgur.com/hY3Lmuj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,b,https://i.imgur.com/3H4cje6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,c,https://i.imgur.com/0eRm9YI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,d,https://i.imgur.com/9wPQzOK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,a,https://i.imgur.com/jsytdqZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,a,https://i.imgur.com/K8n19fM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,c,https://i.imgur.com/m4rL3oO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,c,https://i.imgur.com/EOoTGEe.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,d,https://i.imgur.com/fhCSV1j.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,d,https://i.imgur.com/XyiG74q.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,c,https://i.imgur.com/nL4bUB4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,d,https://i.imgur.com/nkzskOf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,b,https://i.imgur.com/nbbhAVG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,c,https://i.imgur.com/JJY1HyG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,a,https://i.imgur.com/W6kYQNR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,d,https://i.imgur.com/KUvtSln.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,b,https://i.imgur.com/eAgtieW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,d,https://i.imgur.com/i3kOL6c.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,b,https://i.imgur.com/5A1sblc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,d,https://i.imgur.com/eFc21fz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,d,https://i.imgur.com/nDVv5QE.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,b,https://i.imgur.com/CXqLCSv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,b,https://i.imgur.com/gnmQBim.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,d,https://i.imgur.com/HxsIpGg.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
101,c,https://i.imgur.com/TUEnT6d.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,d,https://i.imgur.com/nAvdzQI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,c,https://i.imgur.com/AcCotd0.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,a,https://i.imgur.com/Ds0eVmT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,b,https://i.imgur.com/rMQn6Lj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/tcdNmVC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/BA9NOIF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/h3CDwPw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://i.imgur.com/Y7c3HAJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/mUVIWcG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
