,correct,QuestionLink,category,Direction,optA,optB,optC,optD
1,d,https://image.ibb.co/ikPQNH/tscan94_000.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
2,d,https://image.ibb.co/ko5X2H/tscan94_00001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
3,b,https://image.ibb.co/mNEgwc/tscan94_0001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
5,a,https://image.ibb.co/kigTbc/tscan94_001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
6,b,https://image.ibb.co/j0Lobc/tscan94_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
7,d,https://image.ibb.co/kVkX2H/tscan94_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
8,b,https://image.ibb.co/jr4EGc/tscan94_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
9,c,https://image.ibb.co/jHJKhH/tscan94_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
10,c,https://image.ibb.co/fwVApx/tscan94_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
11,b,https://image.ibb.co/fbW5NH/tscan94_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
12,d,https://image.ibb.co/jDfX2H/tscan94_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
13,b,https://image.ibb.co/hpE39x/tscan94_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
15,b,https://image.ibb.co/n2j39x/tscan94_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
16,a,https://image.ibb.co/kgJ8bc/tscan94_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
17,d,https://image.ibb.co/dnx1wc/tscan94_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
18,d,https://image.ibb.co/hwFMwc/tscan94_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
19,c,https://image.ibb.co/knnqpx/tscan95_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
20,d,https://image.ibb.co/iWAobc/tscan95_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
21,a,https://image.ibb.co/eOUgwc/tscan95_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
22,b,https://image.ibb.co/gUFzhH/tscan95_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
23,d,https://image.ibb.co/ddXO9x/tscan95_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
24,c,https://image.ibb.co/iKp39x/tscan95_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
25,a,https://image.ibb.co/iLfzhH/tscan95_007.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
27,c,https://image.ibb.co/mJuQNH/tscan95_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
28,a,https://image.ibb.co/iRqMwc/tscan95_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
29,c,https://image.ibb.co/bAtwUx/tscan95_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
30,d,https://image.ibb.co/c6CZGc/tscan95_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
31,b,https://image.ibb.co/nnEgwc/tscan95_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
32,d,https://image.ibb.co/ea1GUx/tscan95_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
33,c,https://image.ibb.co/c2eQNH/tscan95_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
34,c,https://image.ibb.co/fcWGUx/tscan95_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
35,d,https://image.ibb.co/mSFbUx/tscan95_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
36,d,https://image.ibb.co/gwDVpx/tscan95_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
37,b,https://image.ibb.co/kwCehH/tscan95_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
39,d,https://image.ibb.co/fp6i9x/tscan95_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
40,d,https://image.ibb.co/h9kMwc/tscan95_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
41,c,https://image.ibb.co/b8iKhH/tscan95_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
42,c,https://image.ibb.co/mAMi9x/tscan95_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
43,d,https://image.ibb.co/kQpEGc/tscan95_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
44,c,https://image.ibb.co/gvXqpx/tscan95_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
45,d,https://image.ibb.co/iccehH/tscan95_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
46,c,https://image.ibb.co/bCaobc/tscan95_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
47,b,https://image.ibb.co/khcehH/tscan95_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
48,c,https://image.ibb.co/hWCZGc/tscan95_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
49,a,https://image.ibb.co/c0BTbc/tscan95_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
50,a,https://image.ibb.co/dYYKhH/tscan95_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
51,b,https://image.ibb.co/eMh1wc/tscan95_030.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
53,a,https://image.ibb.co/iTO8bc/tscan95_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
54,c,https://image.ibb.co/dVmTbc/tscan95_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
55,c,https://image.ibb.co/nEhehH/tscan95_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
56,c,https://image.ibb.co/c6fApx/tscan96_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
57,c,https://image.ibb.co/mcFbUx/tscan96_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
58,a,https://image.ibb.co/kTz39x/tscan96_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
59,a,https://image.ibb.co/d9wTbc/tscan96_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
60,c,https://image.ibb.co/gGfApx/tscan96_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
61,a,https://image.ibb.co/iLyVpx/tscan96_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
62,d,https://image.ibb.co/cJ5X2H/tscan96_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
63,c,https://image.ibb.co/j8ps2H/tscan96_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
64,c,https://image.ibb.co/e8fbUx/tscan96_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
65,a,https://image.ibb.co/drGGUx/tscan96_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
66,b,https://image.ibb.co/h7SehH/tscan96_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
67,c,https://image.ibb.co/d24QNH/tscan96_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
68,d,https://image.ibb.co/mX6GUx/tscan96_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
69,a,https://image.ibb.co/mubY9x/tscan96_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
70,a,https://image.ibb.co/eD9mUx/tscan96_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
71,d,https://image.ibb.co/bXtrwc/tscan96_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
72,c,https://image.ibb.co/i6AFNH/tscan96_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
73,b,https://image.ibb.co/hyGBwc/tscan96_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
74,a,https://image.ibb.co/eXRBwc/tscan96_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
75,a,https://image.ibb.co/nHwY9x/tscan96_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
76,c,https://image.ibb.co/iREybc/tscan96_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
77,c,https://image.ibb.co/mugBwc/tscan96_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
78,b,https://image.ibb.co/cRyD9x/tscan96_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
79,d,https://image.ibb.co/bQ1phH/tscan96_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
80,d,https://image.ibb.co/d66dbc/tscan96_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
81,c,https://image.ibb.co/enzLpx/tscan96_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
82,d,https://image.ibb.co/mxYfpx/tscan96_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
83,c,https://image.ibb.co/cU3PGc/tscan96_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
84,d,https://image.ibb.co/ddKybc/tscan96_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
85,d,https://image.ibb.co/de5FNH/tscan96_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
86,c,https://image.ibb.co/e5pmUx/tscan96_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
87,c,https://image.ibb.co/eys6Ux/tscan96_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
88,a,https://image.ibb.co/gnft9x/tscan96_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
1,d,https://image.ibb.co/kYwphH/tscan96_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
2,b,https://image.ibb.co/dEtD9x/tscan96_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
3,c,https://image.ibb.co/eXp9hH/tscan97_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
4,b,https://image.ibb.co/fSbBwc/tscan97_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
5,b,https://image.ibb.co/jKrN2H/tscan97_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
6,c,https://image.ibb.co/hkJPGc/tscan97_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
7,b,https://image.ibb.co/k7Yfpx/tscan97_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
8,b,https://image.ibb.co/e42UhH/tscan97_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
9,c,https://image.ibb.co/dgn6Ux/tscan97_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
10,c,https://image.ibb.co/hCc6Ux/tscan97_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
11,a,https://image.ibb.co/m4sJbc/tscan97_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
12,d,https://image.ibb.co/gp3PGc/tscan97_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
14,d,https://image.ibb.co/civt9x/tscan97_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
15,d,https://image.ibb.co/gaA4Gc/tscan97_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
16,c,https://image.ibb.co/kyH6Ux/tscan97_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
17,a,https://image.ibb.co/f6rphH/tscan97_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
18,d,https://image.ibb.co/muv4Gc/tscan97_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
19,a,https://image.ibb.co/g9CjGc/tscan97_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
20,a,https://image.ibb.co/eiNjGc/tscan97_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
21,b,https://image.ibb.co/m6GphH/tscan97_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
22,d,https://image.ibb.co/diBdbc/tscan97_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
24,b,https://image.ibb.co/kSvh2H/tscan97_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
25,b,https://image.ibb.co/eeVFNH/tscan97_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
26,c,https://image.ibb.co/jpv4Gc/tscan97_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
27,b,https://image.ibb.co/eCvh2H/tscan97_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
28,b,https://image.ibb.co/b0rY9x/tscan97_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
29,d,https://image.ibb.co/ng4mUx/tscan97_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
30,d,https://image.ibb.co/eswdbc/tscan97_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
31,c,https://image.ibb.co/bvEmUx/tscan97_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
33,c,https://image.ibb.co/bLvFNH/tscan98_1.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
34,c,https://image.ibb.co/jLrY9x/tscan98_2.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
35,a,https://image.ibb.co/cdf4Gc/tscan98_3.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
36,b,https://image.ibb.co/b0wBwc/tscan98_4.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
37,a,https://image.ibb.co/ixNUhH/tscan98_5.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
38,d,https://image.ibb.co/m46Bwc/tscan98_6.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
39,b,https://image.ibb.co/fnnJbc/tscan98_7.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
41,d,https://image.ibb.co/cUfFNH/tscan98_8.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
42,c,https://image.ibb.co/jfpmUx/tscan98_9.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
43,b,https://image.ibb.co/msXjGc/tscan98_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
44,d,https://image.ibb.co/g05RUx/tscan98_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
45,d,https://image.ibb.co/b1n6Ux/tscan98_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
46,c,https://image.ibb.co/nqhJbc/tscan98_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
47,a,https://image.ibb.co/fRD22H/tscan98_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
48,b,https://image.ibb.co/jftPGc/tscan98_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
1,d,https://image.ibb.co/hg8PGc/tscan98_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
2,c,https://image.ibb.co/dYZmUx/tscan98_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
3,d,https://image.ibb.co/eyLt9x/tscan98_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
4,b,https://image.ibb.co/gwcvNH/tscan98_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
5,d,https://image.ibb.co/dOqFNH/tscan98_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
6,b,https://image.ibb.co/hjEaNH/tscan98_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
7,c,https://image.ibb.co/hk0t9x/tscan98_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
8,a,https://image.ibb.co/n28fpx/tscan98_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
9,c,https://image.ibb.co/hAgN2H/tscan98_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
10,a,https://image.ibb.co/b8t22H/tscan98_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
11,d,https://image.ibb.co/d4PmUx/tscan98_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
12,a,https://image.ibb.co/hgD22H/tscan98_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
13,d,https://image.ibb.co/mLm0px/tscan98_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
14,a,https://image.ibb.co/eKEWwc/tscan98_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
15,b,https://image.ibb.co/nkEmUx/tscan98_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
16,b,https://image.ibb.co/mHmuGc/tscan98_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
17,b,https://image.ibb.co/jGcO9x/tscan98_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
18,d,https://image.ibb.co/m4QApx/tscan98_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
19,c,https://image.ibb.co/em9s2H/tscan98_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
20,c,https://image.ibb.co/k50Mwc/tscan98_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
21,c,https://image.ibb.co/j5pEGc/tscan98_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
22,a,https://image.ibb.co/jNsO9x/tscan98_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
23,a,https://image.ibb.co/eNUQNH/tscan99_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
24,b,https://image.ibb.co/dyO8bc/tscan99_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
25,d,https://image.ibb.co/etAApx/tscan99_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
26,c,https://image.ibb.co/mrOkNH/tscan99_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
1,b,https://image.ibb.co/c7SZGc/tscan99_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
2,c,https://image.ibb.co/if1GUx/tscan99_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
3,a,https://image.ibb.co/mumGUx/tscan99_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
4,d,https://image.ibb.co/eajgwc/tscan99_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
5,d,https://image.ibb.co/i5Zgwc/tscan99_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
6,b,https://image.ibb.co/m4o8bc/tscan99_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
7,d,https://image.ibb.co/fHM5NH/tscan99_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
8,b,https://image.ibb.co/kwu39x/tscan99_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
9,a,https://image.ibb.co/i2hC2H/tscan99_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
10,c,https://image.ibb.co/mO5X2H/tscan99_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
11,b,https://image.ibb.co/ccSehH/tscan99_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
