,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,b,https://i.imgur.com/o7yPGan.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,c,https://i.imgur.com/X6jrBN9.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,b,https://i.imgur.com/MT7w3SZ.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,a,https://i.imgur.com/wsnCzYN.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,d,https://i.imgur.com/6c8E4XI.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,d,https://i.imgur.com/SNfAueV.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,d,https://i.imgur.com/kpP9kuc.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,d,https://i.imgur.com/ea4TP0T.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,a,https://i.imgur.com/W9Y4jO5.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,d,https://i.imgur.com/XDIETIF.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,b,https://i.imgur.com/PkeC5Pu.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,c,https://i.imgur.com/rdoleQG.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,c,https://i.imgur.com/2q4Hnps.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,d,https://i.imgur.com/11UBBvX.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/T4hRRkY.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,b,https://i.imgur.com/4216FI5.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,b,https://i.imgur.com/OgJvKeu.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,d,https://i.imgur.com/wbRHJTg.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,d,https://i.imgur.com/n4i1AEk.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,c,https://i.imgur.com/0ddlvGn.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,d,https://i.imgur.com/7gR9vym.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,c,https://i.imgur.com/MESiWv6.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,d,https://i.imgur.com/cK1aE0c.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,a,https://i.imgur.com/uwEOL7t.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,b,https://i.imgur.com/Twocp6D.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,d,https://i.imgur.com/JDEfO6i.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,d,https://i.imgur.com/FaI2pyz.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,b,https://i.imgur.com/7pyKsyk.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
31,d,https://i.imgur.com/ANj2cV7.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,c,https://i.imgur.com/h7UuDoT.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,d,https://i.imgur.com/JQdTv6X.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,a,https://i.imgur.com/Wk2zCEr.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,c,https://i.imgur.com/XBnka31.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,c,https://i.imgur.com/WNrvzKz.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,c,https://i.imgur.com/VZe0xqI.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,b,https://i.imgur.com/0wILtEs.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
40,d,https://i.imgur.com/4xGbq3r.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,a,https://i.imgur.com/U0it8ka.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
42,d,https://i.imgur.com/4S6yepp.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,b,https://i.imgur.com/M5ryVSB.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,a,https://i.imgur.com/LJlBdXt.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,c,https://i.imgur.com/ykjjJJV.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,d,https://i.imgur.com/7dXbkkn.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,a,https://i.imgur.com/nHOrDLH.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,d,https://i.imgur.com/qUS3rDh.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,c,https://i.imgur.com/QDxhciF.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,c,https://i.imgur.com/c4jxV00.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
52,d,https://i.imgur.com/oVfe3Ag.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,c,https://i.imgur.com/XHe4iD8.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,b,https://i.imgur.com/dztJDHx.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,c,https://i.imgur.com/6dosNpw.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
57,c,https://i.imgur.com/mcctsXi.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,a,https://i.imgur.com/qHPGXXt.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,b,https://i.imgur.com/wEDDM5z.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
60,c,https://i.imgur.com/IPVMTvP.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,c
