,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,b,https://i.imgur.com/ibbTEBs.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,a,https://i.imgur.com/ju0bGm3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,a,https://i.imgur.com/8cRsfuP.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,d,https://i.imgur.com/BrQ6ktu.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,b,https://i.imgur.com/cz9qV7P.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,c,https://i.imgur.com/hSUfiKD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,b,https://i.imgur.com/nJCXe4B.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,a,https://i.imgur.com/dwlkkP3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,a,https://i.imgur.com/uWxRot3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,c,https://i.imgur.com/L0fcsFA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
14,b,https://i.imgur.com/w5JOrtJ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,c,https://i.imgur.com/lYyqKhG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/GWuoFZb.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,d,https://i.imgur.com/pyD41UX.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,c,https://i.imgur.com/J5OiQgM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,b,https://i.imgur.com/zox9WDA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,a,https://i.imgur.com/PnhQYBf.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,c,https://i.imgur.com/7eqoSKt.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,d,https://i.imgur.com/A5kI74y.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,d,https://i.imgur.com/IlZqEFG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,b,https://i.imgur.com/katiRsQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,c,https://i.imgur.com/ivnUqYd.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,c,https://i.imgur.com/fHhT4Ah.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,d,https://i.imgur.com/j04z2NO.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,b,https://i.imgur.com/k24oeCy.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
31,a,https://i.imgur.com/0m38zPo.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,d,https://i.imgur.com/uhjfGnA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,a,https://i.imgur.com/n9KFktk.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,c,https://i.imgur.com/7ZD2Dyz.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
35,b,https://i.imgur.com/4yF5h9z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,b,https://i.imgur.com/JJEWK1P.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,a,https://i.imgur.com/HmVxTt1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,d,https://i.imgur.com/fN8Jsdx.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,b,https://i.imgur.com/APsBfYF.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
40,b,https://i.imgur.com/oRRjWi1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,c,https://i.imgur.com/Mhkmz5x.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,d,https://i.imgur.com/cpKCGes.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,a,https://i.imgur.com/vekDW2b.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,d,https://i.imgur.com/bUAxF6Z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,a,https://i.imgur.com/ZfMZw6e.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,a,https://i.imgur.com/lau4SqD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,c,https://i.imgur.com/aVHzByk.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,c,https://i.imgur.com/TcN4ZWb.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,b,https://i.imgur.com/cypkV5G.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,a,https://i.imgur.com/z8gjoRl.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
52,c,https://i.imgur.com/eiJIf0z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,a,https://i.imgur.com/SVDnzrM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,d,https://i.imgur.com/murkLMe.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,c,https://i.imgur.com/HrlxZeM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
56,a,https://i.imgur.com/fGHs6SA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
57,a,https://i.imgur.com/oHEUwuz.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,d,https://i.imgur.com/lXATyc3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,c,https://i.imgur.com/hnvTDhd.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
60,d,https://i.imgur.com/EDVN8CO.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
