,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
1,b,https://i.imgur.com/8oB0uOD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
2,b,https://i.imgur.com/gEkbhPo.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
3,b,https://i.imgur.com/QkhsRXA.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
4,d,https://i.imgur.com/VyK48Uf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
5,c,https://i.imgur.com/I1yYYk9.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
6,d,https://i.imgur.com/ITllBBX.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
7,c,https://i.imgur.com/ckd90EL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
8,a,https://i.imgur.com/t4Dd0mG.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
9,b,https://i.imgur.com/3eahOVQ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
10,b,https://i.imgur.com/xZDv6b8.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
11,d,https://i.imgur.com/Wo4XE7h.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
12,c,https://i.imgur.com/Y5XVPg0.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
13,a,https://i.imgur.com/J9HFkf4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
15,a,https://i.imgur.com/OWbWTu7.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
16,b,https://i.imgur.com/FVD1kPi.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
17,c,https://i.imgur.com/Y4wikLw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
18,b,https://i.imgur.com/AYkaPPh.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
19,b,https://i.imgur.com/voh55jd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
20,c,https://i.imgur.com/QAJcRcg.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
21,a,https://i.imgur.com/6huEhTD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
22,a,https://i.imgur.com/V42t0Wy.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
23,c,https://i.imgur.com/VAevQqn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
24,a,https://i.imgur.com/JjaSqtY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
25,a,https://i.imgur.com/m8QaT96.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
26,b,https://i.imgur.com/2lUt2tf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
27,b,https://i.imgur.com/fQ7ezbY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
28,a,https://i.imgur.com/ZRDDWM4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
29,b,https://i.imgur.com/Abd0fuK.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
30,c,https://i.imgur.com/R6ItMOS.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
31,b,https://i.imgur.com/NYD0vPZ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
32,c,https://i.imgur.com/ftdzfNS.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
33,b,https://i.imgur.com/dL4im9R.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,d,https://i.imgur.com/vaklFor.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
35,a,https://i.imgur.com/Qq51dPd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,b,https://i.imgur.com/FWsF3yp.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,b,https://i.imgur.com/J3S8S1I.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,c,https://i.imgur.com/G8HqEzz.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
40,d,https://i.imgur.com/XuTce1u.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,b,https://i.imgur.com/hyKS19R.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
42,b,https://i.imgur.com/f0dgkC8.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,c,https://i.imgur.com/IpvzPmL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,d,https://i.imgur.com/PVJaGZL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,c,https://i.imgur.com/1Qz1NyM.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,d,https://i.imgur.com/Xjf7hNX.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,b,https://i.imgur.com/Qyqprh0.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,c,https://i.imgur.com/iormOip.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,a,https://i.imgur.com/v295sEk.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,d,https://i.imgur.com/Tc5yzUc.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,a,https://i.imgur.com/gSV1bSD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
52,b,https://i.imgur.com/bB3d51s.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,b,https://i.imgur.com/ehNeA8q.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,a,https://i.imgur.com/eTb2iZC.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,b,https://i.imgur.com/pRaKdHR.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
56,d,https://i.imgur.com/R94w90Y.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,a,https://i.imgur.com/DGBPz7C.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,d,https://i.imgur.com/ub5rCPU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
60,d,https://i.imgur.com/Lt8ZhsM.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
61,a,https://i.imgur.com/eRacQFU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
62,c,https://i.imgur.com/sxN9Fya.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
63,c,https://i.imgur.com/mBjzQM2.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
65,c,https://i.imgur.com/7IqFaJf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
66,a,https://i.imgur.com/LjKeYET.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
67,b,https://i.imgur.com/IeP7QZJ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
68,b,https://i.imgur.com/5f7kLZU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
69,c,https://i.imgur.com/mHhzOBg.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
70,c,https://i.imgur.com/ArUrqTY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
71,d,https://i.imgur.com/8xI2YWn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
72,d,https://i.imgur.com/k6pvE10.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
73,d,https://i.imgur.com/RYUDuj3.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
74,b,https://i.imgur.com/IsdFv3K.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
75,d,https://i.imgur.com/WO4olsw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
76,c,https://i.imgur.com/pyJht67.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
77,c,https://i.imgur.com/9tEZq1F.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
78,b,https://i.imgur.com/FXHZSH1.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
79,c,https://i.imgur.com/0Jnck6g.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
80,a,https://i.imgur.com/Zk9iTlW.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
81,a,https://i.imgur.com/cHq4JTl.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
82,d,https://i.imgur.com/xb0bdYD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
83,a,https://i.imgur.com/gp6nEYY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
84,a,https://i.imgur.com/sOlg5OE.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
85,c,https://i.imgur.com/DOP8pZh.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
86,a,https://i.imgur.com/xW6V8k6.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
87,b,https://i.imgur.com/zNsfQzd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
88,b,https://i.imgur.com/OINdw02.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
89,b,https://i.imgur.com/LsHpMM6.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
90,d,https://i.imgur.com/LnA1rnH.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
91,b,https://i.imgur.com/eZ7cYho.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
92,c,https://i.imgur.com/uNyF80h.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
93,a,https://i.imgur.com/ueciQvI.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
