,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,b,https://i.imgur.com/oJI2qo3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://i.imgur.com/d63hTlI.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/L4Rm19B.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/fo6wl6Q.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/6niRk4k.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/r3ne7st.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://i.imgur.com/2EAvIrb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,d,https://i.imgur.com/8Y4al75.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/gzySYB9.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/qQauYkG.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/RtonMxh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/K9iDL03.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/2ArRGDq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/bYc3Sv1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/gmbrr3I.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,d,https://i.imgur.com/K0zxyMw.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://i.imgur.com/R6Rm6FE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,b,https://i.imgur.com/8DKRNEM.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/Szh78Rk.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/VsHoNog.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,c,https://i.imgur.com/o5T2LVV.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/K6HzPB7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/dePKAMY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,c,https://i.imgur.com/Xq0itjE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://i.imgur.com/Z5ORe1x.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/oVyxACY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,c,https://i.imgur.com/8bkcI7Y.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,c,https://i.imgur.com/sS9JXvo.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,a,https://i.imgur.com/2tm0c0D.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/77FFBL1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://i.imgur.com/SIuaDkl.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/WpuY4LB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/2aVK3yV.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://i.imgur.com/owzaaGn.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,d,https://i.imgur.com/NkSfI3L.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/WWC9BJQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,b,https://i.imgur.com/I2RwXOv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/VADLFN8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,b,https://i.imgur.com/1yCVyxf.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/McaZlUh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,d,https://i.imgur.com/C8Unsx6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,c,https://i.imgur.com/kTcPwMb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,d,https://i.imgur.com/t4q9IEe.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,c,https://i.imgur.com/vhYwU4l.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,b,https://i.imgur.com/saKsjLd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,b,https://i.imgur.com/8xccYTm.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,d,https://i.imgur.com/NOnHaY1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,b,https://i.imgur.com/VTIqnFK.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,d,https://i.imgur.com/eWQ1NFQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,b,https://i.imgur.com/qfiO1Yq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,a,https://i.imgur.com/U41SlOd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,c,https://i.imgur.com/LMfbkAN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/nZLqufk.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,c,https://i.imgur.com/qi0ekSQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://i.imgur.com/gWEYA9s.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,a,https://i.imgur.com/DYvxt17.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,a,https://i.imgur.com/XQOPqQb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,d,https://i.imgur.com/Rl9nYEc.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,b,https://i.imgur.com/270HYmb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,b,https://i.imgur.com/Kakav6s.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,a,https://i.imgur.com/99DrSTN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
