,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,b,https://i.imgur.com/NEAzbDU.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/9NCy8CN.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/qghj9Pi.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,e,https://i.imgur.com/6xSKQjh.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,b,https://i.imgur.com/s0cwAd2.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,a,https://i.imgur.com/yKDUfxf.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/ev9lDmq.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/lwZ2aJS.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,b,https://i.imgur.com/3aKfOBW.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/H1yxuvF.png,https://i.imgur.com/z8Rnpf1.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,c,https://i.imgur.com/4jYIEFh.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/iRfbi5T.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/MGi1vsu.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/BOWX821.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,a,https://i.imgur.com/a7bYirB.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/brRXWTd.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://i.imgur.com/5EOz6sx.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,e,https://i.imgur.com/gQKADQe.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/pAXwAfu.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/6R7M5nF.png,https://i.imgur.com/rhPoymG.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://i.imgur.com/or8sbk4.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/5g3wrmT.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,e,https://i.imgur.com/WkuJOb1.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/cIPdfiy.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,e,https://i.imgur.com/CXjBFag.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/Cs8PvbW.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://i.imgur.com/xsHP2wV.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,e,https://i.imgur.com/TBPvAd9.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,c,https://i.imgur.com/hAqWLIw.png,https://i.imgur.com/zQYTz2H.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,a,https://i.imgur.com/5HG8XJs.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,f,https://i.imgur.com/2xYeqwk.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/K7qlNaO.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,d,https://i.imgur.com/fBbI64f.png,https://i.imgur.com/rMjxbNe.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,c,https://i.imgur.com/0g2qMXY.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,c,https://i.imgur.com/ANc7Qdz.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,c,https://i.imgur.com/4Ix4UdE.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/Ab5H7s0.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,b,https://i.imgur.com/t7uvdEa.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,e,https://i.imgur.com/9RDcDxP.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/lJE2GHu.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,d,https://i.imgur.com/GklVuaO.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,e,https://i.imgur.com/4otTacK.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,c,https://i.imgur.com/iRRBe3H.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,c,https://i.imgur.com/UONyMq8.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,e,https://i.imgur.com/zSJ5ulA.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,d,https://i.imgur.com/tI83c97.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/jes6HiH.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,d,https://i.imgur.com/Ayh88iM.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/cYHOCOz.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/jFy0IrE.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,e,https://i.imgur.com/K1hxXRC.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://i.imgur.com/7UDoGfq.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,b,https://i.imgur.com/1IFRHLJ.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,d,https://i.imgur.com/p2Jh9bc.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,c,https://i.imgur.com/zn1TmjD.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,b,https://i.imgur.com/4Ujtb3Q.png,https://i.imgur.com/J8FYIIJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,a,https://i.imgur.com/9CXIT4T.png,https://i.imgur.com/O0PyGA0.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,e,https://i.imgur.com/0BX2SIP.png,https://i.imgur.com/O0PyGA0.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,c,https://i.imgur.com/M81baje.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://i.imgur.com/2zbqTzz.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/QxixnFK.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,b,https://i.imgur.com/dGEydvN.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://i.imgur.com/sxMveC9.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/MxeRDqk.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,c,https://i.imgur.com/Ed0jF1y.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/sKrCvWm.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,d,https://i.imgur.com/v95Q7ge.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,d,https://i.imgur.com/JlHwiOr.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/T8upVY1.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/J020ivb.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/PCIo7jx.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://i.imgur.com/6B1Meua.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,b,https://i.imgur.com/hqRIIip.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/EDZ6jdq.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/QW2rUb2.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,d,https://i.imgur.com/Xhrb6ln.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/9aGZjJE.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/hxtsNzR.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,a,https://i.imgur.com/EJntf1n.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/6kqG0WO.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,a,https://i.imgur.com/SWEsyuU.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,c,https://i.imgur.com/a5oKXYw.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://i.imgur.com/xIwTxPO.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,c,https://i.imgur.com/i1FMKRY.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,c,https://i.imgur.com/VUmGDLs.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/9BE7YYM.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,c,https://i.imgur.com/podvxMZ.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,d,https://i.imgur.com/VYy13qB.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://i.imgur.com/PqS042x.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,c,https://i.imgur.com/XAt4SRZ.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/DBbNPQU.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,b,https://i.imgur.com/XLRfhnh.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,a,https://i.imgur.com/DVSxRvy.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,b,https://i.imgur.com/D55O4cQ.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,a,https://i.imgur.com/vpTqfLP.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,a,https://i.imgur.com/r7mCsGa.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/Nhpn1Hf.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,c,https://i.imgur.com/JKgUq3Y.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,b,https://i.imgur.com/YXt3Rr6.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,a,https://i.imgur.com/o526kbv.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,d,https://i.imgur.com/garRLwe.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,d,https://i.imgur.com/tvNB1pP.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,c,https://i.imgur.com/swdCvps.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,b,https://i.imgur.com/jS1V9p0.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,c,https://i.imgur.com/LzAFsUT.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,c,https://i.imgur.com/TEBviHp.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
